"","name","taal","m"
"00596","যদি তারে নাই চিনি গো সে কি আমায় নেবে চিনে","তেওরা","তেওড়া"
"00605","তোমার বাস কোথা যে পথিক ওগো, দেশে কি বিদেশে।","তেওরা","দাদরা"
"00632","আজি এই গন্ধবিধুর সমীরণে","ত্রিতাল","তিনতালা"
"00646","এক ফাগুনের গান সে আমার আর ফাগুনের কূলে কূলে","তেওরা","তেওড়া"
"00647","ওরে বকুল পারুল, ওরে শাল পিয়ালের বন","ষষ্ঠী","দাদরা"
"00648","নিশীথরাতের প্রাণ","তেওরা","তেওড়া"
"00649","চেনা ফুলের গন্ধস্রোতে ফাগুন-রাতের অন্ধকারে","তেওরা","তেওড়া"
"00651","আমার মালার ফুলের দলে আছে লেখা বসন্তের মন্ত্রলিপি","খেমটা/ কাহারবা","দাদরা"
"00652","আজি কমলমুকুলদল খুলিল, দুলিল রে দুলিল--","ত্রিতাল","দাদরা"
"00653","পুষ্প ফুটে কোন্‌ কুঞ্জবনে","ঝাঁপতাল","দাদরা"
"00658","সেই তো বসন্ত ফিরে এল, হৃদয়ের বসন্ত কোথায় হায় রে।","ত্রিতাল","তিনতালা"
"00660","নব নব পল্লবরাজি","চৌতাল","দাদরা"
"00661","মম অন্তর উদাসে","ত্রিতাল","তিনতালা"
"00665","কে যায় অমৃতধামযাত্রী।","চৌতাল","দাদরা"
"00668","একমনে তোর একতারাতে একটি যে তার সেইটি বাজা--","তেওরা","যৎ(৩/৪/৩/৪)"
"00669","গভীর রজনী নামিল হৃদয়ে, আর কোলাহল নাই।","রূপকড়া","রুপকড়া"
"00670","ভুবন হইতে ভুবনবাসী এসো আপন হৃদয়ে।","একতাল","দাদরা"
"00671","জীবন যখন ছিল ফুলের মতো","একতাল","দাদরা"
"00673","তুই কেবল থাকিস সরে সরে","একতাল","দাদরা"
"00674","দাঁড়াও, মন, অনন্ত ব্রহ্মাণ্ড-মাঝে আনন্দসভাভবনে আজ॥","সুরফাঁকতাল","দাদরা"
"00679","মন, জাগ' মঙ্গললোকে অমল অমৃতময় নব আলোকে","ত্রিতাল","তিনতালা"
"00680","ভোরের বেলা কখন এসে পরশ করে গেছ হেসে॥","ত্রিতাল","দাদরা"
"00682","আজি নির্ভয়নিদ্রিত ভুবনে জাগে, কে জাগে?","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"00685","অনেক দিনের শূন্যতা মোর ভরতে হবে","তেওরা","তেওড়া"
"00687","প্রাণের প্রাণ জাগিছে তোমারি প্রাণে","আড়াঠেকা","দাদরা"
"00688","জাগো নির্মল নেত্রে রাত্রির পরপারে","কাহারবা","একতাল(৪/৪/৪)"
"00694","ডাকো মোরে আজি এ নিশীথে","ত্রিতাল","তিনতালা"
"00698","তুমি আপনি জাগাও মোরে তব সুধাপরশে--","ত্রিতাল","তিনতালা"
"00700","শোনো তাঁর সুধাবাণী শুভমুহূর্তে শান্তপ্রাণে--","চৌতাল","দাদরা"
"00701","নিশিদিন চাহো রে তাঁর পানে।","ত্রিতাল","তিনতালা"
"00702","ওঠো ওঠো রে-- বিফলে প্রভাত বহে যায় যে।","চৌতাল","দাদরা"
"00703","ওদের কথায় ধাঁদা লাগে, তোমার কথা আমি বুঝি।","তেওরা","দাদরা"
"00706","আমার সকল কাঁটা ধন্য করে ফুটবে ফুল ফুটবে।","কাহারবা","দাদরা"
"00710","জানি জানি কোন্‌ আদি কাল হতে","ত্রিতাল","তিনতালা"
"00711","তুমি যে আমারে চাও আমি সে জানি।","ত্রিতাল","তিনতালা"
"00715","এসেছে সকলে কত আশে দেখো চেয়ে--","চৌতাল","দাদরা"
"00716","ধ্বনিল আহ্বান মধুর গম্ভীর প্রভাত-অম্বর-মাঝে","তেওরা","তেওড়া"
"00718","সফল করো হে প্রভু আজি সভা, এ রজনী হোক মহোৎসবা॥","ত্রিতাল","তিনতালা"
"00720","ওই পোহাইল তিমিররাতি।","ত্রিতাল","তিনতালা"
"00721","আজি বহিছে বসন্তপবন সুমন্দ তোমারি সুগন্ধ হে।","তেওরা","তেওড়া"
"00724","ওই অমল হাতে রজনী প্রাতে আপনি জ্বালো","তেওরা","তেওড়া"
"00725","তার অন্ত নাই গো যে আনন্দে গড়া আমার অঙ্গ।","একতাল","দাদরা"
"00728","পারবি না কি যোগ দিতে এই ছন্দে রে","তেওরা","তেওড়া"
