"id","name","year","porjaay","section","number","raag","taal","swaralipikar"
00139,"বল দাও মোরে বল দাও, প্রাণে দাও মোর শকতি",1902,পূজা,প্রার্থনা,110,ভৈরবী,একতাল,কাঙালীচরণ সেন; দিনেন্দ্রনাথ ঠাকুর
00140,"অন্তর মম বিকশিত করো অন্তরতর হে--",1907,পূজা,প্রার্থনা,111,ভৈরবী,একতাল,অনুল্লিখিত; কাঙালীচরণ সেন; দিনেন্দ্রনাথ ঠাকুর; ভীমরাও শাস্ত্রী
00141,"আমার বিচার তুমি করো তব আপন করে।",1902,পূজা,প্রার্থনা,112,কেদারা,তেওরা,কাঙালীচরণ সেন
00142,"তোমারি ইচ্ছা হউক পূর্ণ করুণাময় স্বামী",1888,পূজা,প্রার্থনা,113,ভৈরবী,একতাল,কাঙালীচরণ সেন; দিনেন্দ্রনাথ ঠাকুর
00143,"অন্ধজনে দেহো আলো, মৃতজনে দেহো প্রাণ--",1885,পূজা,প্রার্থনা,114,ভৈরবী,মুক্তছন্দ (বা কাহারবা),কাঙালীচরণ সেন; প্রফুল্লকুমার দাস (কবির রেকর্ড থেকে) ও কাঙালীচরণ সেন
00144,"হে মহাজীবন, হে মহামরণ, লইনু শরণ, লইনু শরণ॥",1926,পূজা,প্রার্থনা,115,সাহানা,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00145,"পথে যেতে ডেকেছিলে মোরে।",1926,পূজা,প্রার্থনা,116,পিলু,কাহারবা,দিনেন্দ্রনাথ ঠাকুর
00146,"দুয়ারে দাও মোরে রাখিয়া নিত্য কল্যাণ-কাজে হে।",1903,পূজা,প্রার্থনা,117,দেশ,একাদশী,কাঙালীচরণ সেন
00147,"ধনে জনে আছি জড়ায়ে হায়",1909,পূজা,প্রার্থনা,118,সাহানা,একতাল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00148,"তোমারি সেবক করো হে আজি হতে আমারে॥",1899,পূজা,প্রার্থনা,119,ছায়ানট,চৌতাল,কাঙালীচরণ সেন
00149,"তুমি এবার আমায় লহো হে নাথ, লহো।",1910,পূজা,প্রার্থনা,120,বাউল,দাদরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00150,"হৃদয়ে তোমার দয়া যেন পাই।",1909,পূজা,প্রার্থনা,121,পরজ,ত্রিতাল,দিনেন্দ্রনাথ ঠাকুর; সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়
00151,"ভুবনেশ্বর হে",1906,পূজা,প্রার্থনা,122,ইমন ভূপালী,একতাল,কাঙালীচরণ সেন
00152,"আমার সত্য মিথ্যা সকলই ভুলায়ে দাও",1896,পূজা,প্রার্থনা,123,দেশ (?),একতাল ?,কাঙালীচরণ সেন
00153,"ভয় হতে তব অভয়মাঝে নূতন জনম দাও হে॥",1899,পূজা,প্রার্থনা,124,বেহাগ,চৌতাল,কাঙালীচরণ সেন
00154,"পাদপ্রান্তে রাখ' সেবকে",1896,পূজা,প্রার্থনা,125,ইমন-বিলাবল,একতাল,কাঙালীচরণ সেন
00155,"বরিষ ধরা-মাঝে শান্তির বারি",1884,পূজা,প্রার্থনা,126,ভৈরবী,ত্রিতাল,কাঙালীচরণ সেন
00156,"সার্থক কর' সাধন",1921,পূজা,প্রার্থনা,127,পিলু-বারোয়াঁ,দাদরা,দিনেন্দ্রনাথ ঠাকুর
00157,"আমার মিলন লাগি তুমি আসছ কবে থেকে",1909,পূজা,বিরহ,128,বাগেশ্রী-বাহার,তেওরা,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী
00158,"কোথায় আলো, কোথায় ওরে আলো",1909,পূজা,বিরহ,129,দেশ,ঝম্পক,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়; ভীমরাও শাস্ত্রী; দিনেন্দ্রনাথ ঠাকুর
